Business_Area,Country_Desc,Company_Nam,Cust_ID,Material_ID,month,Year,Quantity,Revenue
BA-E New Machines,Austria,AT10 - ATT,2740,3242,10,2016,6,0
BA-E Service,Singapore,8100 - ATT,2493,2210,5,2015,1,127.46
BA-E Service,Algeria,4500 - ATT,419,237,7,2015,1,8.74
BA-E Service,Greece,4500 - ATT,3092,1649,5,2016,4,407.04
BA-E Service,Germany,DE15 - ATT,2931,4210,8,2016,10,11.44
BA-E Service,Belgium,BE10 - ATT,3368,3756,3,2016,24,13.44
BA-E New Machines,France,FR50 - ATT,3015,5206,9,2015,2,210.91
BA-E Service,Brazil,BR10 - ATT,217,3972,3,2015,14,3.18
BA-E New Machines,Canada,CA10 - ATT,2515,2777,6,2015,2,19.47
BA-E Service,Netherlands,NL10 - ATT,2195,4171,3,2016,10,13.36
BA-E Service,United States,US10 - ATT,3020,4801,2,2016,3,356.4
NULL,Brazil,NULL,376,6275,5,2016,0,140538
BA-E Service,Slovenia,AT10 - ATT,1293,5137,3,2015,4,69.29
BA-E Service,Mexico,4500 - ATT,418,1058,4,2015,4,6.48
BA-E Service,Spain,ES10 - ATT,197,414,4,2016,2,155.23
BA-E Service,United States,US10 - ATT,808,2849,5,2015,4,47.95
BA-E Service,United States,US10 - ATT,24,2822,1,2015,2,24.83
BA-E Service,Switzerland,CH10 - ATT,3180,4873,10,2015,1,39.03
BA-E Service,United States,US20 - ATT,1469,5110,9,2015,2,283.9
BA-E Service,Germany,DE15 - ATT,446,379,2,2015,3,609.14
BA-E Service,United States,6500 - ATT,160,1082,3,2016,1,44.83
BA-E Service,United States,6500 - ATT,3003,6112,10,2015,2,1692.4
BA-E Service,United States,6500 - ATT,2602,898,5,2015,0,15.48
BA-E New Machines,United States,US10 - ATT,750,4762,1,2016,1,426.46
BA-E Service,Indonesia,4500 - ATT,418,2353,1,2016,1,1943.72
BA-E New Machines,Germany,DE15 - ATT,1443,3517,11,2015,6,92.66
BA-E Service,France,FR50 - ATT,2871,4382,3,2016,1,0.77
BA-E Service,France,DE10 - ATT,377,3700,7,2016,5,4.1
BA-E New Machines,Netherlands,NL50 - Roya,1626,3351,6,2015,2,130.76
BA-E Service,Austria,4500 - ATT,365,2479,3,2016,12,942.06
BA-E New Machines,Canada,US10 - ATT,377,4187,12,2015,1,42.94
BA-E Service,Russian Federation,RU01 - LLCÃ,88,3816,11,2016,2,5.59
BA-E Service,Canada,CA50 - ATT,3147,2005,10,2016,1,175.05
BA-E Service,Italy,2900 - ATT,2655,669,9,2016,2,163.34
BA-E Service,Argentina,5400 - ATT,2406,571,8,2016,1,0
BA-E Service,United States,6500 - ATT,2456,952,6,2016,0,0
BA-E Service,United States,US10 - ATT,2379,4999,10,2015,5,1033.54
NULL,NULL,UK01 - ATT,2442,2618,2,2015,0,0
BA-E New Machines,New Zealand,NZ10 - ATT,2037,5502,8,2016,0,0.95
BA-E Service,France,FR50 - ATT,2871,5238,3,2016,1,23.58
BA-E Service,United States,US10 - ATT,15,2788,2,2015,1,18.03
